iter	Passed	Remaining
413	3093	4378
414	3099	4369
415	3105	4359
416	3112	4351
417	3118	4342
418	3126	4334
419	3132	4326
420	3139	4317
421	3144	4307
422	3150	4297
423	3157	4289
424	3163	4279
425	3169	4270
426	3176	4262
427	3182	4252
428	3188	4243
429	3194	4234
430	3200	4225
431	3207	4216
432	3213	4207
433	3220	4199
434	3227	4192
435	3234	4184
436	3240	4175
437	3247	4166
438	3253	4158
439	3262	4151
440	3268	4143
441	3275	4134
442	3281	4125
443	3288	4117
444	3295	4109
445	3301	4100
446	3308	4092
447	3315	4084
448	3322	4077
449	3328	4068
450	3334	4059
451	3342	4052
452	3349	4044
453	3358	4038
454	3365	4030
455	3372	4023
456	3379	4015
457	3387	4008
458	3393	4000
459	3401	3992
460	3407	3984
461	3414	3976
462	3422	3969
463	3429	3961
464	3437	3954
465	3444	3947
466	3452	3939
467	3458	3931
468	3466	3924
469	3472	3915
470	3478	3907
471	3483	3897
472	3490	3889
473	3497	3881
474	3503	3872
475	3509	3863
476	3515	3854
477	3521	3846
478	3528	3837
479	3534	3829
480	3540	3820
481	3547	3812
482	3553	3803
483	3559	3794
484	3566	3786
485	3572	3777
486	3578	3769
487	3584	3761
488	3590	3752
489	3597	3744
490	3603	3735
491	3609	3726
492	3617	3719
493	3623	3711
494	3629	3702
495	3635	3694
496	3641	3685
497	3649	3678
498	3655	3670
499	3662	3662
500	3668	3653
501	3675	3645
502	3681	3637
503	3687	3629
504	3694	3621
505	3700	3613
506	3707	3604
507	3713	3596
508	3719	3588
509	3725	3579
510	3731	3570
511	3739	3563
512	3746	3556
513	3753	3549
514	3760	3541
515	3767	3533
516	3774	3525
517	3781	3519
518	3790	3512
519	3797	3505
520	3806	3499
521	3813	3492
522	3821	3485
523	3829	3478
524	3847	3480
525	3873	3490
526	3884	3486
527	3897	3483
528	3911	3482
529	3923	3479
530	3937	3478
531	3945	3470
532	3951	3462
533	3970	3465
534	3977	3457
535	3984	3449
536	3991	3441
537	3997	3432
538	4005	3425
539	4012	3418
540	4019	3410
541	4026	3402
542	4033	3394
543	4041	3387
544	4049	3381
545	4057	3374
546	4064	3366
547	4073	3360
548	4080	3352
549	4091	3347
550	4098	3339
551	4105	3331
552	4112	3323
553	4119	3316
554	4124	3307
555	4133	3300
556	4140	3293
557	4149	3286
558	4156	3278
559	4163	3271
560	4170	3263
