iter	Logloss
0	0.6875530629
1	0.6830335038
2	0.6781980536
3	0.6742387836
4	0.6688188274
5	0.6637401367
6	0.6597012295
7	0.655050642
8	0.6517595441
9	0.6481011209
10	0.6449533527
11	0.6396078045
12	0.634483166
13	0.6298416223
14	0.6252510842
15	0.6207177666
16	0.6166390408
17	0.6121324689
18	0.6076355409
19	0.6050372177
20	0.6020032904
21	0.5994487291
22	0.5967785696
23	0.5923086445
24	0.58846643
25	0.5841456638
26	0.5804640095
27	0.5782163813
28	0.5751338487
29	0.5713308527
30	0.5682447626
31	0.565798213
32	0.5634808487
33	0.5598212253
34	0.557101689
35	0.5554241223
36	0.5528531021
37	0.5505092492
38	0.5484183665
39	0.5458287871
40	0.5436769978
41	0.5421930377
42	0.5398969757
43	0.5368569192
44	0.5341888171
45	0.5320441428
46	0.5303315581
47	0.5284949313
48	0.525434344
49	0.524181666
50	0.521273838
51	0.5188631636
52	0.5165695019
53	0.5140240273
54	0.5128322987
55	0.5113184211
56	0.5100693863
57	0.5089027319
58	0.5076687416
59	0.5059348974
60	0.5039027353
61	0.5020698376
62	0.5002537417
63	0.4989504868
64	0.4969934185
65	0.4952246419
66	0.4927735061
67	0.4913780984
68	0.4901353215
69	0.4891681028
70	0.4873784526
71	0.4857139159
72	0.4839719708
73	0.4829116993
74	0.4813469019
75	0.4801406003
76	0.4786198648
77	0.4768227995
78	0.4752635742
79	0.4737885293
80	0.4733848143
81	0.4726924253
82	0.4708113938
83	0.4700812436
84	0.4690152715
85	0.4679045088
86	0.4671209957
87	0.4657648494
88	0.464434163
89	0.4636143888
90	0.4627398373
91	0.4621205705
92	0.4612580203
93	0.459801106
94	0.4588546753
95	0.4580277004
96	0.4570039899
97	0.4553991596
98	0.4541835571
99	0.4535263147
100	0.4529536387
101	0.4526676221
102	0.4519619888
103	0.4513268631
104	0.4502707492
105	0.4495061381
106	0.4487432416
107	0.4474039828
108	0.4467013498
109	0.4452548081
110	0.444166805
111	0.4433822203
112	0.4429641466
113	0.4426711436
114	0.4422970461
115	0.4417971065
116	0.44095603
117	0.4406017346
118	0.4402594406
119	0.4397170678
120	0.4392245003
121	0.438697472
122	0.4384492167
123	0.4380377437
124	0.4373673857
125	0.4368008389
126	0.4364064249
127	0.4354381347
128	0.4349756991
129	0.4346694089
130	0.4343226572
131	0.4337964004
132	0.4332033222
133	0.4326431617
134	0.4319529587
135	0.4314756072
136	0.431235667
137	0.4310597195
138	0.4307911476
139	0.4304317517
140	0.429733705
141	0.4294445595
142	0.4291635149
143	0.4284580531
144	0.4282397152
145	0.4275054503
146	0.427056559
147	0.4268149901
148	0.4264740676
149	0.4258378275
150	0.4255036343
151	0.4253068131
152	0.4250195107
153	0.4246713874
154	0.4244822813
155	0.4240744087
156	0.4237119696
157	0.4235649538
158	0.4230897882
159	0.4223919986
160	0.4217591875
161	0.4214250372
162	0.4209878471
163	0.4207394632
164	0.4205220683
165	0.420345435
166	0.4194982722
167	0.4188221278
168	0.4186666253
169	0.418351077
170	0.4180110117
171	0.4179009427
172	0.4170280628
173	0.41693561
174	0.4165301805
175	0.4164632733
176	0.4162097031
177	0.4160357272
178	0.4158737526
179	0.4155979799
180	0.4152685444
181	0.4149250502
182	0.4147862638
183	0.4141259354
184	0.4136484125
185	0.4135160125
186	0.4131671177
187	0.4128478404
188	0.4125926843
189	0.4120388674
190	0.4116549545
191	0.4115065242
192	0.4112827858
193	0.4111786317
194	0.4110651766
195	0.4109051308
196	0.4106999087
197	0.410565837
198	0.4103226394
199	0.4100727981
200	0.4096731122
201	0.4095209529
202	0.4087130086
203	0.408524674
204	0.4084399791
205	0.4083049646
206	0.4081387895
207	0.4079090933
208	0.4075242803
209	0.4073617485
210	0.4072347062
211	0.4068183042
212	0.4062578866
213	0.4059535252
214	0.4057388306
215	0.4052221748
216	0.4050238106
217	0.4048479916
218	0.404723521
219	0.4046214672
220	0.4044097729
221	0.4042138089
222	0.4041472874
223	0.4037656463
224	0.4036728934
225	0.4031057036
226	0.4029676887
227	0.4027346493
228	0.4026642703
229	0.4022279375
230	0.4017504574
231	0.4015932405
232	0.4014361949
233	0.4012705771
234	0.4011220182
235	0.4010170926
236	0.400870934
237	0.4005864604
238	0.4004931075
239	0.4000093696
240	0.3999334614
241	0.3996915496
242	0.3996056117
243	0.3994941711
244	0.3993039078
245	0.3986869983
246	0.3985759006
247	0.3984565306
248	0.3982465508
249	0.3981436397
250	0.3980313419
251	0.3979032709
252	0.3977391961
253	0.3976511152
254	0.3975628628
255	0.3974764535
256	0.3973779571
257	0.3972581156
258	0.397146375
259	0.3966727096
260	0.3965946155
261	0.3964879754
262	0.3962333765
263	0.3961279794
264	0.3959780061
265	0.3957662261
266	0.3956773737
267	0.3954684654
268	0.3953706977
269	0.3952577998
270	0.3950059869
271	0.394932179
272	0.3948340255
273	0.3947357006
274	0.3946376758
275	0.3945228062
276	0.3944280389
277	0.3943607459
278	0.3942598493
279	0.3941979569
280	0.39412072
281	0.3940686001
282	0.3940187947
283	0.3938445188
284	0.3936578129
285	0.3935573449
286	0.3934921093
287	0.3933977277
288	0.3931119254
289	0.3930066569
290	0.3927920052
291	0.3926276732
292	0.3925415639
293	0.3924547688
294	0.3922833218
295	0.3921040739
296	0.3919119674
297	0.3917823534
298	0.3916796566
299	0.3915908899
300	0.3914805209
301	0.3913479066
302	0.3911990048
